,text,class
0, اعتقل اندونيسي الشرطه اثار جدلا بقوله تلاوه القران,religon
1, عمان الراي اكد المهندس نضال الحديد امين عمان علي امانه عمان الكبري,env
2, امه امنه بنت وهب عبد مناف زهره كلاب مره ويتصل نسب امه ابيه ابتداء كلاب مره,religon
3,ناسا لتركيب نظام قياسي ضوءي شمسي طيفي لرصد التلوث الجوي سماء القريه,ST
4, حماقي حلف بالله يستمتع الا الجمهور السعودي فقال بثبت لكم هالشيء  حماقي   بنسي روحي واسمي وكلامي دي بالضبط احلامي مش هدور واحتار حماقي    حماقي مبيعملش حاجه وحشه حتي اعلاناته حلوه عموما يلا مش,art
5, حماقي حلف بالله يستمتع الا الجمهور السعودي فقال بثبت لكم هالشيء  حماقي   حماقي خليتني انام واقوم اقول  ح   ك  الحكايه حكايتنا والليالي سرقتنا دنيا مهما خدتنا وودتنا وجابتنا لسه,art
6, طلعو اغنيه حماقي راسي ياستار قلبي ولع نار نار دنا عيني منك 🤤 ,art
7,الحين هذي كيف تطلع مخي ياستار قلبي ولع نار  حماقي ,art
8,الحين هذي كيف تطلع مخي ياستار قلبي ولع نار  حماقي  ياااما حكيت عليك للناس وللايام قالولي حيوان قلت حقيقه مش اوهام  حماقي راسمك خيالي حماقي فقره الدموع ذا الهاشتاق  دا الي زمان نفسي اب,art
9,ظل القمر علي الارض فوق اجزاء ماليزيا الفلبين محطه الفضاء الدوليه اثناء الكسوف الحلقي البارحه  فكره الجمال بهجه ابديه لوكا بارتيانو قاءد محطه الفضاء الدوليه ,ST
10,اصعب شء عمله دايك النهارده    لي ربول لي ربول ليستر سيتي لي ربول ليستر    لي ربول عندك هاذا امورك     هد بوبي اليوم الهد رقم للي ربول تحت قياده يورغن كلوب      لي ربول    لي ربول حاليا ضل ريق ي العالم بلا منازع اكتساح    لي ربول وصل للهد رقم  تحت قياده يورغن كلوب بجميع المسابقات    بسرعه الصاروخ بقوه اقوي المحركات بشخصيه الاساطير لي ربول الي لقب الدوري يطير  اهدا ومباراه مثاليه جميله   ,pol
11,انا ماكنش الحب عمره نيتي وانا معاك غيرت رايي وفكرتي اه ياحبيبي لقيت قربك فرحتي لو حبي ليك قالوا عنه عادي بيكدب تملي معاك ولو حتي بعيد عني قلبي هواك   جيت وقتها نبي نزلها عمرو دياب تملي فبالي وفقلبي   عمرو دياب البو,art
12,انا اللي قلبي ولع ناررر   حماقي ,art
13, انا لما اذاكر اخترع اشياء جديده  حماقي  قولوا بجي مرره تاتيه  واضح جمال الحفله المقطع   اروع حماقي  ودوني مدل بيست وانسوني  حماقي,art
14,الذوق الموسيقي الجوزاءي يفوز    راغب علامه,art
15,            اولا كنت اقول فقط كتبت تعليق اكن ابحث جدال ثانيا انا لدي راي الاسلام المسيح,religon
16,            احترامي لك يتفقوا علي مردغه انف ايران المجوسيه اسراءيل اليهوديه الصين وبورما البوذيه,religon
17,يلا يا كذاب  السيسي بيقول للست المصريه ساعديني وساعدتني ده كلامه  وده رد الست المصريه علي الكذاب الاشر مليك,religon
18,  فكره بحثيه فرقهالسوسينيانيونالمسيحيه جماعه دينيه تقبل فكره وجود الثالوث الاقدس اوجدها ليليوس سوسينوس نعمللحياه نعم للكريسماس نعم لباقي اعياد العراقيين الديانات الاسلاميه المسيحيه الايزيديه الصابءيه,religon
19, السيسي يستنجد بترمب لمواصله تدمير ليبيا والاستيلاء علي نفطهاهذا الوضيع سيعلم قريبا لقمه كبيره تخنق يبتلعها لي,pol
20, مرتضي سرق الزمالك ياسيسي انتوا فاكرين مسح الهاشتاج ماعدي المليون تويته ده هايخلينا نياس يبقي ماتعرفش جمهور الزمالك اح,pol
